contentsid,title,roadaddress,introduction,latitude,longitude,phoneno,region1cd_value,region1cd_label,region2cd_value,region2cd_label,repPhoto_descseo,repPhoto_photoid_photoid,repPhoto_photoid_imgpath,repPhoto_photoid_thumbnailpath,merged_tag
CNTS_000000000019003,제주국제예술센터,제주특별자치도 서귀포시 대정읍 서삼중로 117,제주의 문화와 예술이 담긴 곳,33.27183,126.19944,010-4696-8799,region2,서귀포시,22,대정,제주국제예술센터,4131,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f6357053-8f5e-474e-9d7c-f1156d22109a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/37f5a672-0041-415b-a7a8-eb39bbd725cd.jpg,"['예술', '실내', '미술/박물관', '흐림', '사계절', '실내관광지', '어트랙션', '공용주차장', '아주 어려움']"
CNTS_300000000012728,제주펫스쿨,제주특별자치도 서귀포시 대정읍 칠전로 438,"“반려견과 보호자가 함께하는 올바른 반려문화를 만들어요.”
 제주펫스쿨에서는 반려견과 보호자가 서로를 더 이해하고, 교감할 수 있는 다양한 프로그램을 진행하여 올바른 반려 문화를 지향한다.",33.2864268,126.2231539,0507-1365-4504,region2,서귀포시,22,대정,제주펫스쿨,2019022621770,https://api.cdn.visitjeju.net/photomng/imgpath/202308/23/9a00755b-7904-4144-ab42-962ca56dd219.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202308/23/fe24ac67-455d-42e6-8bc2-9c079f48b807.jpg,"['반려견유치원', '반려견호텔', '반려동물', '반려동물동반입장', '혼저옵서개', '반려동물동반_기타체험', '공용주차장', '화장실', '무료 WIFI']"
CNTS_300000000013522,샤카다이브,제주특별자치도 서귀포시 남원읍 일주동로 8034 (하례리) 1,제주 서귀포시에 위치한 다이빙샵 샤카다이브 입니다,33.3252261,126.5961931,010-2335-6446,region2,서귀포시,25,남원,샤카다이브,2019022651417,https://api.cdn.visitjeju.net/photomng/imgpath/202505/16/8bd50796-2cb8-4200-b44a-eaa0a7ad1556.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202505/16/1c43f4ad-8c0b-4d1d-96ea-9b567d1a29ca.jpg,"['해양스포츠', ' 스쿠버다이빙', ' 체험다이빙', ' 야간다이빙', ' 자격증코스', ' 펀다이빙', '공용주차장', '현금결제', '카드결제', '화장실', '무료 WIFI', '흡연구역', '', '영어', '아주 어려움', '실내+실외', '중', '체험', '스쿠버다이빙 체험', '2~3시간']"
CNTS_300000000013707,그림휴가,제주특별자치도 서귀포시 효돈로 114 (신효동) 1층,"미술작가 김미형이 서귀포에 문을 연 미술공간이다. 작품 감상 및 구매, 초상화 주문제작, 소규모 클래스, 원데이 클래스 등을 즐길 수 있다.",33.26362157054069,126.61110844041804,0507-1426-5071,region2,서귀포시,21,서귀포시내,그림휴가,2019022655924,https://api.cdn.visitjeju.net/photomng/imgpath/202508/27/f514344c-15a4-42bb-a264-d127805ab6e0.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202508/27/a1cba418-cb23-4c85-a264-27b8a0c7b2e7.jpg,"['제주', ' 서귀포', ' 갤러리', ' 미술관', ' 작은미술관', ' 그림공방', ' 작품감상', ' 작품구매', ' 초상화', ' 주문제작', ' 소규모클래스', ' 원데이클래스', ' 미술작가', ' 김미형', '', '실내', '하', '체험', '공연/전시', '그림 좋아하시는 분의 관람과 체험', '1~2시간']"
CNTS_000000000021026,상추자포구,제주특별자치도 제주시 추자면 대서리,상추자도 추자항에 위치한 포구,33.96429,126.292984,--,region3,섬 속의 섬,32,추차도,상추자포구,2019022560665,https://api.cdn.visitjeju.net/photomng/imgpath/201908/22/d3f15139-0765-484d-820d-07b80137b96e.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/22/8b9e843d-fc0a-4679-8278-0ebdefb7a345.gif,"['포구', '해변', '문화유적지', '자연경관', '역사유적']"
CNTS_300000000013764,하이어스 제주,제주특별자치도 제주시 신성로 82-4 1층,특별한 추억과 실용적인 작품을 남기는 제주 공방,33.4952176,126.5281538,0507-1416-5919,region1,제주시,11,제주시내,하이어스 제주,2019022656480,https://api.cdn.visitjeju.net/photomng/imgpath/202509/12/954966d4-352f-4dcd-a554-3ba2cb58cf70.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202509/12/bfba2a35-3477-4e9c-acfd-71e19086ce9e.jpg,"['원데이클래스', ' 공방', ' 체험', ' 이색체험', ' 제주이색코스', '하', '1~2시간']"
CNTS_300000000015837,뎁스원 프리다이빙센터,제주특별자치도 제주시 한림읍 한림로 375,전문적으로 프리다이빙을 배워볼 수 있는 곳,33.3962638,126.2432389,010-4446-3526  ,region1,제주시,13,한림,뎁스원 프리다이빙센터,2019022617552,https://api.cdn.visitjeju.net/photomng/imgpath/202306/16/5ac9bc0a-0048-4d7d-bf54-fd2b05547db7.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/16/aea331e1-4d41-4378-bd5f-987a57050c07.jpg,"['맑음', '체험관광', '액티비티', '해변', ' 한림', ' 협재', ' 프리다이빙', ' 플로빙', '실외', '상', '3시간 이상', '한림', '협재', '프리다이빙', '플로빙', '러닝홀리데이인제주']"
CNTS_000000000019551,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,제주 북제주군 애월읍 곽지리에 있는 청동기시대에서 원삼국시대에 걸친 시기의 패총 유적,33.44588,126.30714,064-728-2731,region1,제주시,12,애월,Gwakji Seashell Mound,5490,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/fb2e6c72-1d7c-4749-a115-92c89fcdadf1.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/b19e60dc-e942-4c86-9b29-8fb5d18de1d2.jpg,"['문화유적지', '자연경관', '문화관광', '역사유적']"
CONT_000000000500217,발이오름,제주특별자치도 제주시 애월읍 어음리 산 1,바리때 형상을 하고 있는 발이오름,33.395871963046226,126.34628767625736,,region1,제주시,12,애월,Bali Oreum Volcanic Cone,17852,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c14f0d90-29e9-42b6-a6cb-f489c4e0ca41.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/3aea96d0-5681-4264-9abe-b6f4ac1aa923.jpg,"['오름', '걷기/등산', '자연경관', '도보여행', '도보']"
CNTS_000000000021036,용둠범목제계단길,제주특별자치도 제주시 추자면 영흥리,나바론 절벽의 위용을 한 눈에 감상하는 전망대,33.956703,126.29697,--,region3,섬 속의 섬,32,추차도,용둠범목제계단길,10443,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3b559768-8044-4881-adb8-218577e63d09.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/47896e53-73b5-451b-9ff3-2873799c1924.gif,"['걷기/등산', '도보여행', '도보']"
