region,tf_idf_tags,theme,chatbot_reply
구좌,"자연경관, 맑음, 커플",맑은 날씨 연인과 함께 자연으로 떠나요,맑은 날씨 속 자연경관이 아름답고 커플 여행지로 인기가 많아요.
남원,"자연경관, 커플, 체험",맑은 날씨 연인과 함께 자연으로 떠나요,맑은 날씨 속 자연경관이 아름답고 커플 여행지로 인기가 많아요.
서귀포시내,"자연경관, 맑음, 커플",맑은 날씨 연인과 함께 자연으로 떠나요,맑은 날씨 속 자연경관이 아름답고 커플 여행지로 인기가 많아요.
성산,"자연경관, 맑음, 커플",맑은 날씨 연인과 함께 자연으로 떠나요,맑은 날씨 속 자연경관이 아름답고 커플 여행지로 인기가 많아요.
안덕,"자연경관, 친구, 도보여행",걸으면서 발견하는 제주 자연의 매력,도보여행과 트레킹을 즐기기 좋은 자연 속 코스예요.
애월,"자연경관, 문화유적지, 걷기",걸으면서 발견하는 제주 자연의 매력,도보여행과 트레킹을 즐기기 좋은 자연 속 코스예요.
대정,"문화유적지, 역사유적, 문화관광",제주의 문화역사 속으로,"역사와 문화유적이 풍부한 지역으로, 제주 전통의 멋을 느낄 수 있어요."
제주시내,"문화관광, 역사유적, 문화유적지",제주의 문화역사 속으로,"역사와 문화유적이 풍부한 지역으로, 제주 전통의 멋을 느낄 수 있어요."
조천,"역사유적, 문화유적지, 문화관광",제주의 문화역사 속으로,"역사와 문화유적이 풍부한 지역으로, 제주 전통의 멋을 느낄 수 있어요."
한림,"문화유적지, 역사유적, 문화관광",제주의 문화역사 속으로,"역사와 문화유적이 풍부한 지역으로, 제주 전통의 멋을 느낄 수 있어요."
중문,"체험, 실내, 아이",실내 관광하러 중문으로 옵서예,날씨 걱정 없이 즐길 수 있는 실내 체험형 관광지가 많아요.
표선,"도보여행, 도보, 친구",친구와 트레킹하기 좋은 코스 추천,친구와 함께 트레킹하기 딱 좋은 코스들이 많아요.
한경,"등산, 걷기, 가을",가을 트레킹하기 좋은 코스 추천,가을바람을 따라 걷기 좋은 트레킹 코스가 있는 지역이에요.
